 x   meu_ln(x)       log(x)
      1.00000000      0.00000000      0.00000000      0.00000000
      1.10000000      0.09531018      0.09531018      0.00000000
      1.20000000      0.18232156      0.18232156      0.00000000
      1.30000000      0.26236426      0.26236426      0.00000000
      1.40000000      0.33647224      0.33647224      0.00000000
      1.50000000      0.40546511      0.40546511      0.00000000
      1.60000000      0.47000363      0.47000363      0.00000000
      1.70000000      0.53062825      0.53062825      0.00000000
      1.80000000      0.58778666      0.58778666      0.00000000
      1.90000000      0.64185389      0.64185389      0.00000000
      2.00000000      0.69314718      0.69314718      0.00000000
      2.10000000      0.74193734      0.74193734      0.00000000
      2.20000000      0.78845736      0.78845736      0.00000000
      2.30000000      0.83290912      0.83290912      0.00000000
      2.40000000      0.87546874      0.87546874      0.00000000
      2.50000000      0.91629073      0.91629073      0.00000000
      2.60000000      0.95551144      0.95551145      0.00000000
      2.70000000      0.99325177      0.99325177      0.00000000
      2.80000000      1.02961942      1.02961942      0.00000000
      2.90000000      1.06471074      1.06471074      0.00000000
      3.00000000      1.09861229      1.09861229      0.00000000
      3.10000000      1.13140211      1.13140211      0.00000000
      3.20000000      1.16315081      1.16315081      0.00000000
      3.30000000      1.19392247      1.19392247      0.00000000
      3.40000000      1.22377543      1.22377543      0.00000000
      3.50000000      1.25276297      1.25276297      0.00000000
      3.60000000      1.28093384      1.28093385      0.00000000
      3.70000000      1.30833282      1.30833282      0.00000000
      3.80000000      1.33500107      1.33500107      0.00000000
      3.90000000      1.36097655      1.36097655      0.00000000
      4.00000000      1.38629436      1.38629436      0.00000000
      4.10000000      1.41098697      1.41098697      0.00000000
      4.20000000      1.43508452      1.43508453      0.00000000
      4.30000000      1.45861502      1.45861502      0.00000000
      4.40000000      1.48160454      1.48160454      0.00000000
      4.50000000      1.50407740      1.50407740      0.00000000
      4.60000000      1.52605630      1.52605630      0.00000000
      4.70000000      1.54756251      1.54756251      0.00000000
      4.80000000      1.56861592      1.56861592      0.00000000
      4.90000000      1.58923521      1.58923521      0.00000000
      5.00000000      1.60943791      1.60943791      0.00000000
      5.10000000      1.62924054      1.62924054      0.00000000
      5.20000000      1.64865862      1.64865863      0.00000000
      5.30000000      1.66770682      1.66770682      0.00000000
      5.40000000      1.68639895      1.68639895      0.00000000
      5.50000000      1.70474809      1.70474809      0.00000000
      5.60000000      1.72276660      1.72276660      0.00000000
      5.70000000      1.74046618      1.74046617      0.00000000
      5.80000000      1.75785792      1.75785792      0.00000000
      5.90000000      1.77495235      1.77495235      0.00000000
      6.00000000      1.79175947      1.79175947      0.00000000
      6.10000000      1.80828877      1.80828877      0.00000000
      6.20000000      1.82454929      1.82454929      0.00000000
      6.30000000      1.84054963      1.84054963      0.00000000
      6.40000000      1.85629799      1.85629799      0.00000000
      6.50000000      1.87180218      1.87180218      0.00000000
      6.60000000      1.88706965      1.88706965      0.00000000
      6.70000000      1.90210753      1.90210753      0.00000000
      6.80000000      1.91692261      1.91692261      0.00000000
      6.90000000      1.93152141      1.93152141      0.00000000
      7.00000000      1.94591015      1.94591015      0.00000000
      7.10000000      1.96009478      1.96009478      0.00000000
      7.20000000      1.97408103      1.97408103      0.00000000
      7.30000000      1.98787435      1.98787435      0.00000000
      7.40000000      2.00148000      2.00148000      0.00000000
      7.50000000      2.01490302      2.01490302      0.00000000
      7.60000000      2.02814825      2.02814825      0.00000000
      7.70000000      2.04122033      2.04122033      0.00000000
      7.80000000      2.05412374      2.05412373      0.00000000
      7.90000000      2.06686276      2.06686276      0.00000000
      8.00000000      2.07944154      2.07944154      0.00000000
      8.10000000      2.09186406      2.09186406      0.00000000
      8.20000000      2.10413415      2.10413415      0.00000000
      8.30000000      2.11625552      2.11625551      0.00000000
      8.40000000      2.12823170      2.12823171      0.00000000
      8.50000000      2.14006616      2.14006616      0.00000000
      8.60000000      2.15176220      2.15176220      0.00000000
      8.70000000      2.16332303      2.16332303      0.00000000
      8.80000000      2.17475172      2.17475172      0.00000000
      8.90000000      2.18605128      2.18605128      0.00000000
      9.00000000      2.19722458      2.19722458      0.00000000
      9.10000000      2.20827442      2.20827441      0.00000000
      9.20000000      2.21920348      2.21920348      0.00000000
      9.30000000      2.23001440      2.23001440      0.00000000
      9.40000000      2.24070969      2.24070969      0.00000000
      9.50000000      2.25129180      2.25129180      0.00000000
      9.60000000      2.26176310      2.26176310      0.00000000
      9.70000000      2.27212588      2.27212589      0.00000000
      9.80000000      2.28238238      2.28238239      0.00000000
      9.90000000      2.29253476      2.29253476      0.00000000
     10.00000000      2.30258509      2.30258509      0.00000000
