dimensão  r^3/vol  abs(r^3 - vol)
  0  1.00000000  0.00000000
  1  1.99999997  0.99999997
  2  3.14159265  2.14159265
  3  4.18879015  3.18879015
  4  4.93480220  3.93480220
  5  5.26378894  4.26378894
  6  5.16771278  4.16771278
  7  4.72476590  3.72476590
  8  4.05871213  3.05871213
  9  3.29850886  2.29850886
 10  2.55016404  1.55016404
 11  1.88410385  0.88410385
 12  1.33526277  0.33526277
 13  0.91062874  0.08937126
 14  0.59926453  0.40073547
 15  0.38144328  0.61855672
 16  0.23533063  0.76466937
 17  0.14098110  0.85901890
 18  0.08214589  0.91785411
 19  0.04662160  0.95337840
 20  0.02580689  0.97419311
 21  0.01394915  0.98605085
 22  0.00737043  0.99262957
 23  0.00381066  0.99618934
 24  0.00192957  0.99807043
 25  0.00095772  0.99904228
 26  0.00046630  0.99953370
 27  0.00022287  0.99977713
 28  0.00010464  0.99989536
 29  0.00004829  0.99995171
 30  0.00002192  0.99997808
 31  0.00000979  0.99999021
 32  0.00000430  0.99999570
 33  0.00000186  0.99999814
 34  0.00000080  0.99999920
 35  0.00000033  0.99999967
 36  0.00000014  0.99999986
 37  0.00000006  0.99999994
 38  0.00000002  0.99999998
 39  0.00000001  0.99999999
 40  0.00000000  1.00000000
 41  0.00000000  1.00000000
 42  0.00000000  1.00000000
 43  0.00000000  1.00000000
 44  0.00000000  1.00000000
 45  0.00000000  1.00000000
 46  0.00000000  1.00000000
 47  0.00000000  1.00000000
 48  0.00000000  1.00000000
 49  0.00000000  1.00000000
 50  0.00000000  1.00000000
 51  0.00000000  1.00000000
 52  0.00000000  1.00000000
 53  0.00000000  1.00000000
 54  0.00000000  1.00000000
 55  0.00000000  1.00000000
 56  0.00000000  1.00000000
 57  0.00000000  1.00000000
 58  0.00000000  1.00000000
 59  0.00000000  1.00000000
 60  0.00000000  1.00000000
 61  0.00000000  1.00000000
 62  0.00000000  1.00000000
 63  0.00000000  1.00000000
 64  0.00000000  1.00000000
 65  0.00000000  1.00000000
 66  0.00000000  1.00000000
 67  0.00000000  1.00000000
 68  0.00000000  1.00000000
 69  0.00000000  1.00000000
 70  0.00000000  1.00000000
 71  0.00000000  1.00000000
 72  0.00000000  1.00000000
 73  0.00000000  1.00000000
 74  0.00000000  1.00000000
 75  0.00000000  1.00000000
 76  0.00000000  1.00000000
 77  0.00000000  1.00000000
 78  0.00000000  1.00000000
 79  0.00000000  1.00000000
 80  0.00000000  1.00000000
 81  0.00000000  1.00000000
 82  0.00000000  1.00000000
 83  0.00000000  1.00000000
 84  0.00000000  1.00000000
 85  0.00000000  1.00000000
 86  0.00000000  1.00000000
 87  0.00000000  1.00000000
 88  0.00000000  1.00000000
 89  0.00000000  1.00000000
 90  0.00000000  1.00000000
 91  0.00000000  1.00000000
 92  0.00000000  1.00000000
 93  0.00000000  1.00000000
 94  0.00000000  1.00000000
 95  0.00000000  1.00000000
 96  0.00000000  1.00000000
 97  0.00000000  1.00000000
 98  0.00000000  1.00000000
 99  0.00000000  1.00000000
100  0.00000000  1.00000000
101  0.00000000  1.00000000
102  0.00000000  1.00000000
103  0.00000000  1.00000000
104  0.00000000  1.00000000
105  0.00000000  1.00000000
106  0.00000000  1.00000000
107  0.00000000  1.00000000
108  0.00000000  1.00000000
109  0.00000000  1.00000000
110  0.00000000  1.00000000
111  0.00000000  1.00000000
112  0.00000000  1.00000000
113  0.00000000  1.00000000
114  0.00000000  1.00000000
115  0.00000000  1.00000000
116  0.00000000  1.00000000
117  0.00000000  1.00000000
118  0.00000000  1.00000000
119  0.00000000  1.00000000
120  0.00000000  1.00000000
121  0.00000000  1.00000000
122  0.00000000  1.00000000
123  0.00000000  1.00000000
124  0.00000000  1.00000000
125  0.00000000  1.00000000
126  0.00000000  1.00000000
127  0.00000000  1.00000000
128  0.00000000  1.00000000
129  0.00000000  1.00000000
130  0.00000000  1.00000000
131  0.00000000  1.00000000
132  0.00000000  1.00000000
133  0.00000000  1.00000000
134  0.00000000  1.00000000
135  0.00000000  1.00000000
136  0.00000000  1.00000000
137  0.00000000  1.00000000
138  0.00000000  1.00000000
139  0.00000000  1.00000000
140  0.00000000  1.00000000
141  0.00000000  1.00000000
142  0.00000000  1.00000000
143  0.00000000  1.00000000
144  0.00000000  1.00000000
145  0.00000000  1.00000000
146  0.00000000  1.00000000
147  0.00000000  1.00000000
148  0.00000000  1.00000000
149  0.00000000  1.00000000
150  0.00000000  1.00000000
151  0.00000000  1.00000000
152  0.00000000  1.00000000
153  0.00000000  1.00000000
154  0.00000000  1.00000000
155  0.00000000  1.00000000
156  0.00000000  1.00000000
157  0.00000000  1.00000000
158  0.00000000  1.00000000
159  0.00000000  1.00000000
160  0.00000000  1.00000000
161  0.00000000  1.00000000
162  0.00000000  1.00000000
163  0.00000000  1.00000000
164  0.00000000  1.00000000
165  0.00000000  1.00000000
166  0.00000000  1.00000000
167  0.00000000  1.00000000
168  0.00000000  1.00000000
169  0.00000000  1.00000000
170  0.00000000  1.00000000
171  0.00000000  1.00000000
172  0.00000000  1.00000000
173  0.00000000  1.00000000
174  0.00000000  1.00000000
175  0.00000000  1.00000000
176  0.00000000  1.00000000
177  0.00000000  1.00000000
178  0.00000000  1.00000000
179  0.00000000  1.00000000
180  0.00000000  1.00000000
181  0.00000000  1.00000000
182  0.00000000  1.00000000
183  0.00000000  1.00000000
184  0.00000000  1.00000000
185  0.00000000  1.00000000
186  0.00000000  1.00000000
187  0.00000000  1.00000000
188  0.00000000  1.00000000
189  0.00000000  1.00000000
190  0.00000000  1.00000000
191  0.00000000  1.00000000
192  0.00000000  1.00000000
193  0.00000000  1.00000000
194  0.00000000  1.00000000
195  0.00000000  1.00000000
196  0.00000000  1.00000000
197  0.00000000  1.00000000
198  0.00000000  1.00000000
199  0.00000000  1.00000000
200  0.00000000  1.00000000
201  0.00000000  1.00000000
202  0.00000000  1.00000000
203  0.00000000  1.00000000
204  0.00000000  1.00000000
205  0.00000000  1.00000000
206  0.00000000  1.00000000
207  0.00000000  1.00000000
208  0.00000000  1.00000000
209  0.00000000  1.00000000
210  0.00000000  1.00000000
211  0.00000000  1.00000000
212  0.00000000  1.00000000
213  0.00000000  1.00000000
214  0.00000000  1.00000000
215  0.00000000  1.00000000
216  0.00000000  1.00000000
217  0.00000000  1.00000000
218  0.00000000  1.00000000
219  0.00000000  1.00000000
220  0.00000000  1.00000000
221  0.00000000  1.00000000
222  0.00000000  1.00000000
223  0.00000000  1.00000000
224  0.00000000  1.00000000
