temp,omega1,theta1,omega2,theta2,theta2-theta1
    0.000000,    0.000000,    1.000000,    0.000000,    1.001000,    0.001000
    0.040000,   -0.033659,    0.998654,   -0.033680,    0.999653,    0.000999
    0.080000,   -0.065781,    0.996022,   -0.065825,    0.997020,    0.000997
    0.120000,   -0.096344,    0.992169,   -0.096409,    0.993163,    0.000995
    0.160000,   -0.125326,    0.987156,   -0.125412,    0.988147,    0.000991
    0.200000,   -0.152708,    0.981047,   -0.152816,    0.982034,    0.000987
    0.240000,   -0.178472,    0.973908,   -0.178602,    0.974890,    0.000982
    0.280000,   -0.202606,    0.965804,   -0.202757,    0.966780,    0.000976
    0.320000,   -0.225094,    0.956800,   -0.225268,    0.957769,    0.000969
    0.360000,   -0.245929,    0.946963,   -0.246124,    0.947924,    0.000961
    0.400000,   -0.265099,    0.936359,   -0.265317,    0.937312,    0.000952
    0.440000,   -0.282601,    0.925055,   -0.282840,    0.925998,    0.000943
    0.480000,   -0.298427,    0.913118,   -0.298689,    0.914050,    0.000932
    0.520000,   -0.312578,    0.900615,   -0.312862,    0.901536,    0.000921
    0.560000,   -0.325052,    0.887613,   -0.325358,    0.888522,    0.000909
    0.600000,   -0.335852,    0.874179,   -0.336181,    0.875074,    0.000896
    0.640000,   -0.344983,    0.860380,   -0.345334,    0.861261,    0.000881
    0.680000,   -0.352451,    0.846281,   -0.352824,    0.847148,    0.000867
    0.720000,   -0.358267,    0.831951,   -0.358662,    0.832802,    0.000851
    0.760000,   -0.362441,    0.817453,   -0.362859,    0.818287,    0.000834
    0.800000,   -0.364990,    0.802854,   -0.365430,    0.803670,    0.000817
    0.840000,   -0.365931,    0.788216,   -0.366392,    0.789014,    0.000798
    0.880000,   -0.365284,    0.773605,   -0.365767,    0.774384,    0.000779
    0.920000,   -0.363073,    0.759082,   -0.363577,    0.759841,    0.000759
    0.960000,   -0.359323,    0.744709,   -0.359848,    0.745447,    0.000738
    1.000000,   -0.354064,    0.730546,   -0.354610,    0.731262,    0.000716
