omega,theta
     -0.00209344,      0.05227614
     -0.58242301,     25.35546718
     -0.98007526,    -41.12658217
      4.04749445,    -58.32469136
      1.93252581,    -81.07116259
      1.35732814,    -52.91983548
     -1.38394588,     69.74981000
     -2.63977581,     15.43821540
     -3.47074812,     24.01931495
      1.90587840,      4.88514767
      2.95094757,     39.30203576
      3.15949508,    113.75767025
     -4.01114785,    -47.92665614
     -0.40106074,    -88.47345652
     -3.42197523,    -55.47247293
      1.76022719,    -60.52468167
      2.38385938,    -32.68556281
      1.82230064,    -16.58951495
      0.10523608,     50.09155451
     -2.33555944,     71.89999177
      0.10529719,     94.07394391
      1.82452721,    178.18297471
      2.34064838,    206.03400393
      1.82359396,    222.16713126
      0.10507842,    288.85256216
     -2.33553444,    310.66132353
      0.10527042,    332.83497153
      1.82464067,    416.94379031
      2.34054263,    444.79475060
      1.82370738,    460.92794697
     -2.33551295,    549.42265793
      0.10524704,    571.59599955
     -2.33569036,    593.40254665
      1.82475413,    655.70460590
      2.34043685,    683.55549728
      1.82382080,    699.68876268
     -2.33549149,    788.18399233
      0.10522368,    810.35702758
     -2.33566872,    832.16388108
      2.34033105,    922.31624397
      1.82393422,    938.44957837
     -2.33547005,   1026.94532673
      0.10520032,   1049.11805561
     -2.33564710,   1070.92521550
      2.34022524,   1161.07699068
      1.82404765,   1177.21039404
      2.34109520,   1205.06171494
     -2.33544864,   1265.70666112
      0.10517698,   1287.87908364
     -2.33562550,   1309.68654992
      2.34011940,   1399.83773740
      1.82416109,   1415.97120970
      2.34098953,   1443.82246156
      0.10515365,   1526.64011167
     -2.33560392,   1548.44788433
      0.10534593,   1570.62252112
      2.34001354,   1638.59848414
      1.82427453,   1654.73202535
      2.34088385,   1682.58320819
      0.10513033,   1765.40113971
     -2.33558236,   1787.20921875
      0.10532252,   1809.38354914
      1.82438798,   1893.49284098
      2.34077814,   1921.34395483
      0.10510702,   2004.16216775
     -2.33556083,   2025.97055315
      0.10529912,   2048.14457715
      1.82450143,   2132.25365660
      2.34067241,   2160.10470148
      1.82356820,   2176.23781312
      0.10508371,   2242.92319579
     -2.33553932,   2264.73188756
      0.10527573,   2286.90560517
      1.82461489,   2371.01447220
      2.34056666,   2398.86544815
      1.82368161,   2414.99862884
     -2.33551783,   2503.49322196
      0.10525235,   2525.66663319
     -2.33569528,   2547.47311068
      1.82472836,   2609.77528779
      2.34046088,   2637.62619483
      1.82379503,   2653.75944455
     -2.33549637,   2742.25455636
      0.10522899,   2764.42766121
     -2.33567363,   2786.23444510
      2.34035509,   2876.38694152
      1.82390846,   2892.52026024
     -2.33547492,   2981.01589076
      0.10520563,   3003.18868924
     -2.33565201,   3024.99577953
      2.34024928,   3115.14768822
      1.82402189,   3131.28107592
      2.34111920,   3159.13241251
     -2.33545350,   3219.77722515
      0.10518228,   3241.94971727
     -2.33563040,   3263.75711395
      2.34014344,   3353.90843494
      1.82413532,   3370.04189158
      2.34101354,   3397.89315912
      0.10515895,   3480.71074530
     -2.33560882,   3502.51844836
      0.10535125,   3524.69315476
      2.34003759,   3592.66918167
      1.82424876,   3608.80270723
      2.34090786,   3636.65390574
      0.10513562,   3719.47177334
     -2.33558726,   3741.27978277
      0.10532784,   3763.45418277
      2.33993171,   3831.42992841
      1.82436221,   3847.56352287
      2.34080215,   3875.41465238
      0.10511231,   3958.23280138
     -2.33556572,   3980.04111718
      0.10530444,   4002.21521079
      1.82447566,   4086.32433849
      2.34069643,   4114.17539903
      1.82354243,   4130.30849498
      0.10508901,   4196.99382942
     -2.33554421,   4218.80245159
      0.10528104,   4240.97623880
      1.82458912,   4325.08515410
      2.34059068,   4352.93614570
      1.82365585,   4369.06931071
     -2.33552271,   4457.56378599
      0.10525766,   4479.73726682
     -2.33570020,   4501.54367470
