omega,theta
     -0.00209344,      0.05227614
     -0.46043595,      0.67258728
      0.92540407,      5.15942096
      0.98243266,      3.77401891
     -1.31104942,      6.08268638
      0.45389699,      2.31576100
     -1.95563235,      2.15784181
     -1.43168083,      2.35483450
      1.61726085,      0.48369881
     -0.97547547,      3.56532912
     -0.39866888,      5.24299386
     -0.18043314,      6.25864576
     -0.46890721,      0.87868902
      0.69653723,      4.57388085
     -2.48745781,      1.00992390
      0.04912671,      3.06119005
     -1.70854612,      3.41834307
      1.43942776,      5.68375994
     -0.67754532,      4.36794003
      1.78507758,      4.05435307
     -1.87567679,      6.05244451
     -1.51812057,      5.35957142
      1.18273972,      2.99841713
     -0.98217588,      0.66102547
      0.32239752,      1.50865077
     -1.26102291,      2.47823498
      1.49746892,      0.36233873
     -0.75675311,      3.68920922
     -1.32356971,      0.34749510
      0.47717389,      1.96087730
     -1.92880430,      1.92657711
      1.95932712,      0.23643724
     -1.27302490,      3.92406824
     -0.76314078,      5.33212989
      0.13820901,      0.31204174
     -1.33257423,      5.40439747
      0.98728936,      3.02088430
     -0.65710572,      0.82660361
      0.27003086,      1.14913321
     -0.29723655,      3.48932636
      1.68282166,      3.02058073
     -1.52853498,      0.47958709
      1.39716133,      0.60161662
     -0.80771049,      3.51313780
     -1.06427028,      5.60544690
      0.62417020,      0.35061494
     -0.39584672,      0.03049440
      0.63342366,      5.92826740
     -0.96952376,      0.51290967
      1.86837521,      3.65153877
     -1.83615338,      0.43952633
      1.09494982,      2.10026345
     -1.74383044,      4.21428461
      0.13844330,      5.07012224
     -0.43786703,      5.75602548
     -0.41451889,      1.62512839
      1.04722909,      4.16406859
     -1.28620460,      5.60527330
      0.73858782,      2.78983520
      1.38580095,      0.24410979
     -1.29613263,      0.41327153
      0.85183768,      4.56563803
      2.55949663,      0.01662345
      0.33776365,      3.10107850
      1.22647503,      4.92942762
      2.51469338,      0.24447073
      1.39144892,      5.10589424
      2.49178892,      0.46335567
      1.61525335,      6.05684649
      1.18407782,      4.09596189
      2.67656231,      6.15956625
      1.54788956,      0.29657380
     -1.00907002,      1.55987345
     -2.53173505,      6.23252616
     -0.91086700,      1.94346424
     -2.62501185,      5.53514383
     -0.33841803,      4.89042773
      0.86001267,      3.73333317
     -1.22095863,      6.23022292
      0.31727816,      2.10786409
     -2.12026291,      1.65331922
      2.02348789,      6.10197008
     -1.31598334,      4.18748595
      0.84878636,      5.93720528
     -1.06765330,      0.50291759
      1.08506793,      5.12867592
      1.79660161,      4.76637520
     -1.61250739,      5.13202697
      1.37976441,      2.80101359
     -0.98536213,      0.75634975
     -1.80301160,      2.16780045
      1.89488273,      0.24937619
     -1.19661840,      3.83369831
     -0.67081352,      5.29927075
      0.02825981,      0.23706778
     -0.33476749,      0.58029976
      0.90096635,      5.30247167
     -0.27973554,      3.58021327
      1.80488545,      3.56238409
     -1.81244706,      0.32361037
      1.03816925,      2.18349006
     -1.81032631,      4.38621167
     -0.22985010,      5.06876794
     -0.34057228,      6.15764533
      0.29059410,      0.02823237
     -0.54930775,      0.41548322
      0.95414799,      5.66045463
     -0.99612192,      1.32344289
     -2.12642090,      1.02728054
      1.84194386,      1.04679370
     -1.59781474,      4.15425037
      0.49546714,      1.29737474
      0.21510376,      6.06027071
      0.29105874,      5.45463883
     -0.72583723,      1.55882248
     -2.19859587,      0.98083644
      1.96419104,      0.78847019
     -1.58304904,      4.20782119
      1.10350805,      2.95485244
     -0.77105298,      0.79557911
      0.29769703,      1.26970073
     -0.63286971,      3.13081135
      0.01923249,      5.29771866
     -0.25605586,      5.79996573
     -0.57316179,      1.35111234
      0.43146986,      0.52696198
      0.41052120,      4.66056960
      1.89451032,      4.74666823
     -1.76597287,      5.33232689
      1.39340892,      2.58947558
     -0.59943067,      0.99661132
      0.37263145,      1.04715866
      1.86345694,      4.15380514
     -1.93375955,      6.14890298
      1.21837859,      2.36133425
      1.09199616,      0.70130711
     -0.67311604,      5.92239543
      0.41577909,      0.01184584
     -0.60732642,      0.31650833
